event,series,window,CAR,t,sig
hormuz_ceasefire,USD_EW,"(0,50)",-0.0010603278419435392,-0.06913438488944933,
hormuz_ceasefire,SAFE,"(0,5)",0.019142733113924042,2.858118174750083,***
hormuz_ceasefire,SAFE,"(0,20)",0.01467466496541505,1.1711443017989798,
hormuz_ceasefire,SAFE,"(0,50)",0.0028038025664148688,0.14358669630113607,
hormuz_ceasefire,RISKY,"(0,5)",0.021563241372207966,3.7797226113911835,***
hormuz_ceasefire,RISKY,"(0,20)",0.009721701385220806,0.910865261486395,
hormuz_ceasefire,RISKY,"(0,50)",0.004505728818485254,0.27089530075348756,
hormuz_ceasefire,CARRY_HML,"(0,5)",0.0024205082582837148,0.4982622947369643,
hormuz_ceasefire,CARRY_HML,"(0,20)",-0.004952963580194248,-0.5449825134187452,
hormuz_ceasefire,CARRY_HML,"(0,50)",0.0017019262520703736,0.12016631117525604,
hormuz_ceasefire,OIL_EXP,"(0,5)",0.01613952025656959,2.671400447062156,***
hormuz_ceasefire,OIL_EXP,"(0,20)",0.013015523015149615,1.1515319051353694,
hormuz_ceasefire,OIL_EXP,"(0,50)",0.0013836605032096663,0.0785540271166549,
hormuz_ceasefire,OIL_IMP,"(0,5)",0.011196743974077994,2.216790711726404,**
hormuz_ceasefire,OIL_IMP,"(0,20)",0.008047725405443578,0.8516714182260023,
hormuz_ceasefire,OIL_IMP,"(0,50)",0.007306882804787465,0.49619870247558734,
