day,month,year,daily_tpu_index
18,3,2025,465.631929046563
19,3,2025,451.745379876796
20,3,2025,584.551148225469
21,3,2025,501.002004008016
22,3,2025,458.015267175572
23,3,2025,297.951582867784
24,3,2025,507.614213197969
25,3,2025,645.87973273942
26,3,2025,356.347438752783
27,3,2025,764.331210191082
28,3,2025,642.023346303502
29,3,2025,423.940149625935
30,3,2025,377.358490566037
31,3,2025,761.670761670761
1,4,2025,921.348314606741
2,4,2025,956.521739130434
3,4,2025,1158.12917594654
4,4,2025,1650.09940357852
5,4,2025,1282.66033254156
6,4,2025,808.270676691729
7,4,2025,1180.90452261306
8,4,2025,1842.75184275184
9,4,2025,1861.47186147186
10,4,2025,1933.33333333333
11,4,2025,1683.99168399168
12,4,2025,1604.01002506265
13,4,2025,998.307952622673
14,4,2025,1252.95508274231
15,4,2025,847.826086956521
16,4,2025,1175.25773195876
17,4,2025,1292.37288135593
18,4,2025,1193.18181818181
19,4,2025,666.666666666666
20,4,2025,738.738738738738
21,4,2025,1116.88311688311
22,4,2025,1141.55251141552
23,4,2025,873.180873180873
24,4,2025,1044.1767068273
25,4,2025,1140.68441064638
26,4,2025,843.672456575682
27,4,2025,650.40650406504
28,4,2025,1152.94117647058
29,4,2025,919.037199124726
30,4,2025,1012.14574898785
1,5,2025,824.524312896406
2,5,2025,814.393939393939
3,5,2025,1065.21739130434
4,5,2025,601.626016260162
5,5,2025,829.145728643216
6,5,2025,1157.68463073852
7,5,2025,1087.78625954198
8,5,2025,931.098696461824
9,5,2025,1061.45251396648
10,5,2025,703.883495145631
11,5,2025,477.759472817133
12,5,2025,776.470588235294
13,5,2025,800.0
14,5,2025,886.075949367088
15,5,2025,792.079207920792
16,5,2025,562.015503875969
17,5,2025,588.235294117647
18,5,2025,422.535211267605
19,5,2025,497.737556561085
20,5,2025,778.588807785888
21,5,2025,606.694560669456
22,5,2025,623.700623700623
23,5,2025,593.869731800766
24,5,2025,620.347394540942
25,5,2025,473.684210526315
26,5,2025,208.333333333333
27,5,2025,686.49885583524
28,5,2025,440.251572327044
29,5,2025,536.082474226804
30,5,2025,865.191146881287
31,5,2025,1179.36117936117
1,6,2025,299.823633156966
2,6,2025,763.888888888888
3,6,2025,688.888888888888
4,6,2025,778.947368421052
5,6,2025,625.0
6,6,2025,573.613766730401
7,6,2025,788.177339901477
8,6,2025,489.864864864864
9,6,2025,720.72072072072
10,6,2025,497.017892644135
11,6,2025,603.112840466926
12,6,2025,527.306967984934
13,6,2025,294.695481335952
14,6,2025,256.410256410256
15,6,2025,241.545893719806
16,6,2025,578.703703703703
17,6,2025,333.333333333333
18,6,2025,521.920668058455
19,6,2025,312.5
20,6,2025,544.354838709677
21,6,2025,527.704485488126
22,6,2025,235.5072463768116
23,6,2025,347.394540942928
24,6,2025,456.62100456621
25,6,2025,399.1596638655462
26,6,2025,407.7253219
27,6,2025,290.6976744
28,6,2025,589.7435897
29,6,2025,339.2857142857143
30,6,2025,346.4203233256351
1,7,2025,286.3436123348018
2,7,2025,463.7096774193548
3,7,2025,405.6795132
4,7,2025,350.877193
5,7,2025,450.0
6,7,2025,261.3240418118467
7,7,2025,556.9007263922518
8,7,2025,603.448275862069
9,7,2025,601.2024048096192
10,7,2025,454.5454545454546
11,7,2025,688.9763779527559
12,7,2025,611.2469437652812
13,7,2025,489.3964110929853
14,7,2025,532.150776053215
15,7,2025,635.9649122807018
16,7,2025,930.2325581395348
17,7,2025,598.8023952095808
18,7,2025,556.5529622980251
19,7,2025,597.4025974025974
20,7,2025,397.2366148531952
21,7,2025,614.6572104018912
22,7,2025,209.4240837696335
23,7,2025,552.8846153846154
24,7,2025,729.92700729927
25,7,2025,622.0095693779904
26,7,2025,386.7403314917127
27,7,2025,397.1119133574007
28,7,2025,743.0340557275542
29,7,2025,1052.631578947368
30,7,2025,778.894472361809
31,7,2025,995.260663507109
1,8,2025,1012.04819277108
2,8,2025,1117.47851002865
3,8,2025,368.932038834951
4,8,2025,701.754385964912
5,8,2025,653.40909090909
6,8,2025,519.801980198019
7,8,2025,725.0
8,8,2025,902.255639097744
9,8,2025,918.918918918919
10,8,2025,311.284046692607
11,8,2025,593.75
12,8,2025,664.739884393063
13,8,2025,555.555555555555
14,8,2025,631.313131313131
15,8,2025,555.555555555555
16,8,2025,363.128491620111
17,8,2025,359.281437125748
18,8,2025,331.125827814569
19,8,2025,494.505494505494
20,8,2025,490.956072351421
21,8,2025,545.454545454545
22,8,2025,621.761658031088
23,8,2025,648.648648648648
24,8,2025,410.15625
25,8,2025,666.666666666666
26,8,2025,395.4802259887
27,8,2025,493.506493506493
28,8,2025,470.29702970297
29,8,2025,583.756345177665
30,8,2025,607.734806629834
31,8,2025,222.222222222222
1,9,2025,351.5625
2,9,2025,878.787878787878
3,9,2025,579.345088161209
4,9,2025,390.243902439024
5,9,2025,559.610705596107
6,9,2025,375.335120643431
7,9,2025,273.224043715847
8,9,2025,825.688073394495
9,9,2025,526.315789473684
10,9,2025,487.80487804878
11,9,2025,439.276485788113
12,9,2025,641.025641025641
13,9,2025,498.687664041994
14,9,2025,400.0
15,9,2025,495.626822157434
16,9,2025,664.819944598338
17,9,2025,532.994923857868
18,9,2025,615.763546798029
19,9,2025,454.545454545454
20,9,2025,478.723404255319
21,9,2025,297.397769516728
22,9,2025,222.84122562674
23,9,2025,404.312668463611
24,9,2025,551.378446115288
25,9,2025,278.481012658227
26,9,2025,435.835351089588
27,9,2025,394.736842105263
28,9,2025,226.415094339622
29,9,2025,637.119113573407
30,9,2025,403.225806451612
1,10,2025,338.983050847457
2,10,2025,419.753086419753
3,10,2025,224.438902743142
4,10,2025,459.770114942528
5,10,2025,394.47731755424
6,10,2025,209.580838323353
7,10,2025,286.532951289398
8,10,2025,456.852791878172
9,10,2025,428.211586901763
10,10,2025,418.71921182266
11,10,2025,467.532467532467
12,10,2025,215.05376344086
13,10,2025,308.641975308642
14,10,2025,360.36036036036
15,10,2025,716.049382716049
16,10,2025,439.276485788113
17,10,2025,555.555555555555
18,10,2025,386.597938144329
19,10,2025,228.136882129277
20,10,2025,364.741641337386
21,10,2025,611.111111111111
22,10,2025,485.933503836317
23,10,2025,358.974358974358
24,10,2025,369.458128078817
25,10,2025,467.032967032967
26,10,2025,540.54054054054
27,10,2025,859.872611464968
28,10,2025,546.448087431694
29,10,2025,591.016548463357
30,10,2025,495.867768595041
31,10,2025,449.21875
1,11,2025,443.864229765013
2,11,2025,287.648054145516
3,11,2025,442.890442890442
4,11,2025,482.456140350877
5,11,2025,518.962075848303
6,11,2025,546.558704453441
7,11,2025,335.195530726257
8,11,2025,489.690721649484
9,11,2025,176.0
10,11,2025,279.06976744186
11,11,2025,258.064516129032
12,11,2025,196.078431372549
13,11,2025,548.523206751054
14,11,2025,374.531835205992
15,11,2025,455.696202531645
16,11,2025,443.686006825938
17,11,2025,253.807106598984
18,11,2025,152.505446623093
19,11,2025,253.411306042885
20,11,2025,180.0
21,11,2025,342.052313883299
22,11,2025,466.321243523316
23,11,2025,267.11185308848
24,11,2025,448.113207547169
25,11,2025,407.725321888412
26,11,2025,321.285140562249
27,11,2025,165.289256198347
28,11,2025,303.643724696356
29,11,2025,366.197183098591
30,11,2025,173.410404624277
1,12,2025,390.243902439024
2,12,2025,519.187358916478
3,12,2025,249.480249480249
4,12,2025,331.950207468879
5,12,2025,303.030303030303
6,12,2025,239.361702127659
7,12,2025,190.311418685121
8,12,2025,432.692307692307
9,12,2025,439.560439560439
10,12,2025,281.69014084507
11,12,2025,421.686746987951
12,12,2025,440.251572327044
13,12,2025,229.591836734693
14,12,2025,134.3283582089552
15,12,2025,189.7018970189702
16,12,2025,195.6521739130435
17,12,2025,606.6536203522505
18,12,2025,169.8513800424628
19,12,2025,447.7611940298507
20,12,2025,129.8701298701299
21,12,2025,135.1351351351351
22,12,2025,421.0526315789473
23,12,2025,310.2625298329356
24,12,2025,279.7202797202797
25,12,2025,237.3887240356083
26,12,2025,290.5569007263923
27,12,2025,276.9230769230769
28,12,2025,311.8503118503119
29,12,2025,345.821325648415
30,12,2025,439.2764857881137
31,12,2025,288.4615384615385
1,1,2026,82.1917808219178
2,1,2026,349.1271820448878
3,1,2026,210.2102102102102
4,1,2026,167.2862453531598
5,1,2026,309.2783505154639
6,1,2026,240.9638554216868
7,1,2026,209.2050209205021
8,1,2026,143.4426229508197
9,1,2026,324.4274809160306
10,1,2026,440.4145077720207
11,1,2026,313.0148270181219
12,1,2026,300.0
13,1,2026,520.0
14,1,2026,393.7007874015748
